itemLabel,geo,pop
Baker County,Point(-117.67 44.71),16018
Jefferson County,Point(-121.17 44.63),21145
Lincoln County,Point(-123.91 44.64),46350
Sherman County,Point(-120.69 45.41),1731
Jackson County,Point(-122.74 42.42),208545
Multnomah County,Point(-122.41 45.54),766135
Benton County,Point(-123.4325 44.490277777),86591
Yamhill County,Point(-123.31 45.23),100725
Crook County,Point(-120.36 44.13),20815
Hood River County,Point(-121.649444444 45.5175),22675
Harney County,Point(-118.97 43.07),7146
Clatsop County,Point(-123.71 46.01),37244
Grant County,Point(-118.89173 44.43841),7283
Columbia County,Point(-123.08 45.95),49344
Klamath County,Point(-121.65 42.68),65910
Josephine County,Point(-123.56 42.36),83306
Douglas County,Point(-123.18 43.29),106940
Clackamas County,Point(-122.21 45.19),388263
Marion County,Point(-122.58 44.91),323614
Curry County,Point(-124.136666666 42.48),22339
Deschutes County,Point(-121.22 43.91),165954
Coos County,Point(-124.09 43.18),62282
Washington County,Point(-123.09 45.56),554996
Gilliam County,Point(-120.21 45.38),1947
Lake County,Point(-120.39 42.79),7820
Umatilla County,Point(-118.7513661 45.375131),76720
Wheeler County,Point(-120.02 44.73),1381
Tillamook County,Point(-123.7 45.46),25317
Morrow County,Point(-119.57 45.42),11336
Wallowa County,Point(-117.17 45.58),6814
Wasco County,Point(-121.16 45.16),25477
Polk County,Point(-123.42 44.91),76794
Lane County,Point(-122.88 43.95),356212
Malheur County,Point(-117.63 43.21),30479
Union County,Point(-118.093333333 45.327222222),25652
Linn County,Point(-123.09 44.63),118765
