,Hospital Name,Beds,City,State,Estimated Ventilators,Statewide Ventilators per Bed
0,Northside Behavioral Health Center,0,Tampa,FL,0.0,0.06904567242180862
1,Adventist Health Saint Helena Center for Behavioral Health,61,Vallejo,CA,4.760612592978633,0.07804282939309234
2,Adventist Health Simi Valley,144,Simi Valley,CA,11.238167432605298,0.07804282939309234
3,Adventist Ukiah Valley,50,Ukiah,CA,3.9021414696546173,0.07804282939309234
4,Ascension Columbia Saint Mary's Hospital Ozaukee,120,Mequon,WI,6.831839746968899,0.05693199789140749
5,Ascension Columbia Saint Mary's Women's Hospital,0,Milwaukee,WI,0.0,0.05693199789140749
6,Ascension Our Lady of Victory Hospital,24,Stanley,WI,1.3663679493937797,0.05693199789140749
7,Ascension Saint John Hospital,612,Detroit,MI,40.115125275037265,0.06554759031868834
8,Ascension Saint Michael's Hospital,84,Stevens Point,WI,4.782287822878229,0.05693199789140749
9,Avera Dakota Plains Surgery Center,15,Aberdeen,SD,0.5370014416146084,0.03580009610764056
10,Baylor Scott & White Medical Center Plano,118,Plano,TX,8.4015503875969,0.07119957955590593
11,Baylor Scott & White Medical Center Grapevine,289,Grapevine,TX,20.576678491656814,0.07119957955590593
12,Baylor Scott & White Medical Center Temple,634,Temple,TX,45.14053343844436,0.07119957955590593
13,Brockton Hospital,197,Brockton,MA,13.58221525805504,0.06894525511703066
14,California Department of State Hospitals - Coalinga,0,Coalinga,CA,0.0,0.07804282939309234
15,California Department of State Hospitals - Napa,49,Napa,CA,3.824098640261525,0.07804282939309234
16,California Department of State Hospitals Salinas Valley Hospital,0,Soledad,CA,0.0,0.07804282939309234
17,Carle Richland Memorial Hospital,81,Olney,IL,5.493177216304253,0.06781700267042287
18,Chester County Hospital,244,West Chester,PA,17.234498441053052,0.07063319033218464
19,CHI Memorial Hospital Chattanooga,423,Chattanooga,TN,29.873882681564247,0.07062383612662942
20,CHI Saint Anthony Hospital,25,Pendleton,OR,1.682274247491639,0.06729096989966556
21,CHI Saint Joseph Health Continuing Care Hospital,23,Lexington,KY,1.3155927912723766,0.05719968657705985
22,CHI St. Joseph Health Bellville Hospital,32,Bellville,TX,2.27838654578899,0.07119957955590593
23,CHRISTUS Good Shepherd Medical Center - Marshall,361,Marshall,TX,25.703048219682042,0.07119957955590593
24,CHRISTUS Good Shepherd Medical Center Longview,351,Longview,TX,24.991052424122984,0.07119957955590593
25,Cuero Regional Hospital,44,Cuero,TX,3.132781500459861,0.07119957955590593
26,Daniel Drake Center,211,Cincinnati,OH,16.25597086556377,0.07704251595053921
