,County,Population,Confirmed,Deaths,Latitude,Longitude,Date
0,Adams,28105,0.0,0.0,38.84,-83.48,2020-03-23
1,Erie,76048,1.0,1.0,41.51,-82.61,2020-03-23
2,Brown,44264,0.0,0.0,38.93,-83.87,2020-03-23
3,Lucas,436393,9.0,1.0,41.68,-83.5,2020-03-23
4,Henry,28092,0.0,0.0,41.33,-84.07,2020-03-23
5,Franklin,1212263,44.0,2.0,39.97,-83.01,2020-03-23
6,Clinton,41945,1.0,0.0,39.41,-83.81,2020-03-23
7,Jefferson,67964,0.0,0.0,40.38,-80.76,2020-03-23
8,Hamilton,804520,26.0,0.0,39.2,-84.54,2020-03-23
9,Cuyahoga,1263154,149.0,1.0,41.54,-81.66,2020-03-23
10,Lorain,302827,24.0,0.0,41.47,-82.15,2020-03-23
11,Putnam,34088,0.0,0.0,41.02,-84.13,2020-03-23
12,Geauga,93972,2.0,0.0,41.5,-81.17,2020-03-23
13,Lake,229857,8.0,0.0,41.82,-81.24,2020-03-23
14,Huron,58889,1.0,0.0,41.15,-82.6,2020-03-23
15,Medina,174915,15.0,0.0,41.12,-81.9,2020-03-23
16,Defiance,38532,2.0,0.0,41.32,-84.49,2020-03-23
17,Trumbull,206442,3.0,0.0,41.32,-80.76,2020-03-23
18,Ashtabula,99811,3.0,0.0,41.89,-80.76,2020-03-23
19,Portage,163862,2.0,0.0,41.17,-81.2,2020-03-23
20,Auglaize,45920,0.0,0.0,40.56,-84.22,2020-03-23
21,Pickaway,56304,0.0,0.0,39.64,-83.03,2020-03-23
22,Champaign,39455,0.0,0.0,40.14,-83.77,2020-03-23
23,Hancock,75773,1.0,0.0,41.0,-83.67,2020-03-23
24,Paulding,19254,0.0,0.0,41.12,-84.58,2020-03-23
25,Wayne,115071,0.0,0.0,40.83,-81.89,2020-03-23
26,Richland,121773,1.0,0.0,40.78,-82.54,2020-03-23
27,Wyandot,22447,0.0,0.0,40.85,-83.3,2020-03-23
28,Ashland,53043,1.0,0.0,40.84,-82.27,2020-03-23
29,Crawford,42808,0.0,0.0,40.85,-82.92,2020-03-23
30,Harrison,15622,0.0,0.0,40.29,-81.09,2020-03-23
31,Columbiana,105893,2.0,0.0,40.77,-80.78,2020-03-23
32,Tuscarawas,92672,2.0,0.0,40.45,-81.47,2020-03-23
33,Carroll,28275,2.0,0.0,40.58,-81.09,2020-03-23
34,Stark,375432,12.0,1.0,40.81,-81.37,2020-03-23
35,Williams,37500,0.0,0.0,41.56,-84.58,2020-03-23
36,Mahoning,233869,23.0,0.0,41.02,-80.77,2020-03-23
37,Belmont,69571,2.0,0.0,40.02,-80.99,2020-03-23
38,Delaware,184979,7.0,0.0,40.28,-83.01,2020-03-23
39,Madison,43277,1.0,0.0,39.9,-83.4,2020-03-23
40,Ross,77910,0.0,0.0,39.33,-83.06,2020-03-23
41,Coshocton,36760,3.0,0.0,40.3,-81.92,2020-03-23
42,Summit,541824,28.0,0.0,41.13,-81.53,2020-03-23
43,Fulton,42488,0.0,0.0,41.6,-84.12,2020-03-23
44,Sandusky,60098,1.0,0.0,41.36,-83.15,2020-03-23
45,Mercer,40784,0.0,0.0,40.54,-84.63,2020-03-23
46,Seneca,55914,0.0,0.0,41.13,-83.13,2020-03-23
47,Clark,136167,1.0,0.0,39.92,-83.78,2020-03-23
48,Butler,371272,17.0,0.0,39.44,-84.58,2020-03-23
49,Wood,129264,2.0,0.0,41.36,-83.62,2020-03-23
50,Allen,105298,0.0,0.0,40.766666666,-84.116666666,2020-03-23
51,Clermont,200218,5.0,0.0,39.05,-84.15,2020-03-23
52,Athens,64681,0.0,0.0,39.33,-82.05,2020-03-23
53,Darke,52376,1.0,0.0,40.13,-84.62,2020-03-23
54,Ottawa,41153,0.0,0.0,41.59,-83.06,2020-03-23
55,Montgomery,535846,7.0,0.0,39.75,-84.29,2020-03-23
56,Lawrence,61917,0.0,0.0,38.59,-82.54,2020-03-23
57,Van,28459,0.0,0.0,40.86,-84.59,2020-03-23
58,Scioto,78153,0.0,0.0,38.81,-82.99,2020-03-23
59,Holmes,43593,0.0,0.0,40.56,-81.93,2020-03-23
60,Morrow,35033,0.0,0.0,40.53,-82.8,2020-03-23
61,Union,53306,1.0,0.0,40.31,-83.37,2020-03-23
62,Shelby,49192,0.0,0.0,40.33,-84.2,2020-03-23
63,Marion,65905,3.0,0.0,40.59,-83.16,2020-03-23
64,Washington,61310,1.0,0.0,39.46,-81.49,2020-03-23
65,Warren,219169,5.0,0.0,39.43,-84.17,2020-03-23
66,Perry,35997,0.0,0.0,39.74,-82.24,2020-03-23
67,Monroe,14585,0.0,0.0,39.73,-81.08,2020-03-23
68,Miami,103439,17.0,0.0,40.05,-84.23,2020-03-23
69,Morgan,14904,0.0,0.0,39.61,-81.85,2020-03-23
70,Noble,14628,0.0,0.0,39.77,-81.45,2020-03-23
71,Meigs,23496,0.0,0.0,39.08,-82.02,2020-03-23
72,Pike,28367,0.0,0.0,39.08,-83.07,2020-03-23
73,Preble,41732,0.0,0.0,39.74,-84.65,2020-03-23
74,Vinton,13276,0.0,0.0,39.25,-82.49,2020-03-23
75,Highland,43299,1.0,0.0,39.18,-83.6,2020-03-23
76,Licking,168375,1.0,0.0,40.09,-82.48,2020-03-23
77,Fairfield,148867,0.0,0.0,39.75,-82.63,2020-03-23
78,Fayette,28800,0.0,0.0,39.56,-83.45,2020-03-23
79,Guernsey,39636,0.0,0.0,40.05,-81.5,2020-03-23
80,Knox,60810,1.0,0.0,40.383333333,-82.466666666,2020-03-23
81,Hardin,31641,0.0,0.0,40.66,-83.66,2020-03-23
82,Logan,45481,1.0,0.0,40.39,-83.77,2020-03-23
83,Muskingum,85231,0.0,0.0,39.97,-81.95,2020-03-23
84,Hocking,28665,0.0,0.0,39.5,-82.48,2020-03-23
85,Gallia,30621,1.0,0.0,38.83,-82.32,2020-03-23
86,Jackson,32783,0.0,0.0,39.02,-82.62,2020-03-23
87,Greene,163204,1.0,0.0,39.69,-83.89,2020-03-23
