Hospital Name,Beds,City,State,Estimated Ventilators,Statewide Ventilators per Bed,place name,place_id,address,lat,lon
Northside Behavioral Health Center,0,Tampa,FL,0.0,0.06904567242180862,Northside Mental Health Center,ChIJHa3_TKHHwogRGLd29ngepUA,"12512 Bruce B Downs Blvd, Tampa, FL 33612, United States",28.061524,-82.42737699999999
Adventist Health Saint Helena Center for Behavioral Health,61,Vallejo,CA,4.760612592978633,0.07804282939309233,Adventist Health St. Helena,ChIJGc0PrkhahIARoFCyKu1pyZI,"10 Woodland Rd, St Helena, CA 94574, United States",38.5425608,-122.4747622
Adventist Health Simi Valley,144,Simi Valley,CA,11.238167432605298,0.07804282939309233,Adventist Health Physicians Network Family Medicine,ChIJF_JqHj4p6IARhcVtQqwdL7o,"2750 Sycamore Dr #202, Simi Valley, CA 93065, United States",34.2854883,-118.7431652
Adventist Ukiah Valley,50,Ukiah,CA,3.902141469654617,0.07804282939309233,Adventist Health Ukiah Valley,ChIJgTyRmfpkgYAREkZBqaZnJU8,"275 Hospital Dr, Ukiah, CA 95482, United States",39.1533674,-123.2036242
Ascension Columbia Saint Mary's Hospital Ozaukee,120,Mequon,WI,6.831839746968899,0.05693199789140749,Ascension Columbia St. Mary's Hospital Ozaukee,ChIJT41w3ZnmBIgRKhfoj3Rv9mc,"13111 N Port Washington Rd, Mequon, WI 53097, United States",43.2565785,-87.92618859999999
Ascension Columbia Saint Mary's Women's Hospital,0,Milwaukee,WI,0.0,0.05693199789140749,Columbia St. Mary's Women's Hospital,ChIJJTn0dsEYBYgRVI6-zU_S2Q0,"2323 N Lake Dr, Milwaukee, WI 53211, United States",43.0615531,-87.8795932
Ascension Our Lady of Victory Hospital,24,Stanley,WI,1.3663679493937797,0.05693199789140749,Ascension Our Lady of Victory - Stanley,ChIJ-wtmUDFe_4cRXsTw7fFNJ8o,"1120 Pine St, Stanley, WI 54768, United States",44.95352980000001,-90.91885880000001
Ascension Saint John Hospital,612,Detroit,MI,40.11512527503727,0.06554759031868834,Ascension St. John Hospital,ChIJkawo0QTWJIgRK2SaNP_SV0Y,"22101 Moross Rd, Detroit, MI 48236, United States",42.4197915,-82.9149154
Ascension Saint Michael's Hospital,84,Stevens Point,WI,4.782287822878229,0.05693199789140749,Ascension St. Michael's Hospital,ChIJycyxZZRaAIgRrn3ihJbUFNs,"900 Illinois Ave, Stevens Point, WI 54481, United States",44.5268222,-89.5665679
Avera Dakota Plains Surgery Center,15,Aberdeen,SD,0.5370014416146084,0.03580009610764056,Avera Dakota Plains Surgical Center,ChIJPTQICKpF0lIRjKT6cOkWbNY,"701 8th Ave NW, Aberdeen, SD 57401, United States",45.4729385,-98.50025169999999
Baylor Scott & White Medical Center Plano,118,Plano,TX,8.4015503875969,0.07119957955590593,Baylor Scott & White Medical Center - Plano,ChIJD_uzw0wiTIYR9gVmCZxP2O4,"4700 Alliance Blvd, Plano, TX 75093, United States",33.0136238,-96.7910986
Baylor Scott & White Medical Center Grapevine,289,Grapevine,TX,20.576678491656814,0.07119957955590593,Baylor Scott & White Medical Center - Grapevine,ChIJ1a5P6tLUTYYRA8WJhQz9H5U,"1650 W College St, Grapevine, TX 76051, United States",32.9337522,-97.093764
Baylor Scott & White Medical Center Temple,634,Temple,TX,45.14053343844436,0.07119957955590593,Baylor Scott & White Medical Center - Temple,ChIJUcqln2hrRYYRPpydoI25afQ,"2401 S 31st St, Temple, TX 76508, United States",31.0779405,-97.3640532
Brockton Hospital,197,Brockton,MA,13.582215258055038,0.06894525511703066,Signature Healthcare Brockton Hospital,ChIJqZjBuzCb5IkRbCUK2oF9000,"680 Centre St, Brockton, MA 02302, United States",42.0877003,-70.9914661
California Department of State Hospitals - Coalinga,0,Coalinga,CA,0.0,0.07804282939309233,Coalinga State Hospital,ChIJ--3GB2ZZk4ARe2mJW1FhlTw,"24511 W Jayne Ave, Coalinga, CA 93210, United States",36.1335614,-120.2401099
California Department of State Hospitals - Napa,49,Napa,CA,3.824098640261525,0.07804282939309233,Department of State Hospitals - Napa,ChIJE0OA7gAGhYAR7pY1oapNGeI,"2100 Napa Vallejo Hwy, Napa, CA 94558, United States",38.2780746,-122.267857
California Department of State Hospitals Salinas Valley Hospital,0,Soledad,CA,0.0,0.07804282939309233,Salinas Valley Psychiatric Inpatient Program,ChIJDxbv_BZskoARBy0WKKi6vEI,"Soledad, CA 93960, United States",36.4767909,-121.3735778
Carle Richland Memorial Hospital,81,Olney,IL,5.493177216304253,0.06781700267042287,Carle Richland Memorial Hospital Orthopaedic Clinic,ChIJ5Q0R_pMucogRXrjevkeyK58,"800 E Locust St, Olney, IL 62450, United States",38.7369847,-88.0776968
Chester County Hospital,244,West Chester,PA,17.234498441053052,0.07063319033218464,Chester County Hospital,ChIJMTUwHVzxxokRiYpGbC65EYE,"701 E Marshall St, West Chester, PA 19380, United States",39.9716591,-75.6019109
CHI Memorial Hospital Chattanooga,423,Chattanooga,TN,29.87388268156425,0.07062383612662942,CHI Memorial Hospital Chattanooga: Emergency Room,ChIJtZspuLFgYIgRIq1sNXVsGoE,"2525 Desales Ave, Chattanooga, TN 37404, United States",35.0424162,-85.2593672
CHI Saint Anthony Hospital,25,Pendleton,OR,1.6822742474916392,0.06729096989966556,St. Anthony Hospital,ChIJpbvNIBvholQR4xNdEuUfxfw,"2801 St Anthony Way, Pendleton, OR 97801, United States",45.648805,-118.8121656
CHI Saint Joseph Health Continuing Care Hospital,23,Lexington,KY,1.3155927912723766,0.05719968657705985,"CHI Saint Joseph Health - Continuing Care, Saint Joseph Hospital",ChIJ_xFjP1hDQogR57YHWIyYsZc,"1 St Joseph Dr, Lexington, KY 40504, United States",38.0333938,-84.5246361
CHI St. Joseph Health Bellville Hospital,32,Bellville,TX,2.2783865457889902,0.07119957955590593,CHI St. Joseph Health Bellville Hospital: Emergency Room,ChIJjUwdNl1SQYYRZ3KJa8hkgjE,"44 N Cummings Rd, Bellville, TX 77418, United States",29.9534731,-96.2604532
CHRISTUS Good Shepherd Medical Center - Marshall,361,Marshall,TX,25.70304821968204,0.07119957955590593,CHRISTUS Good Shepherd Medical Center - Marshall,ChIJ5-wTHW_2NoYRKcPC9iNXANM,"811 S Washington Ave, Marshall, TX 75670, United States",32.536904,-94.36903919999999
CHRISTUS Good Shepherd Medical Center Longview,351,Longview,TX,24.991052424122984,0.07119957955590593,CHRISTUS Good Shepherd Medical Center - Longview,ChIJi4HhyYM4NoYRU8Z390rBwA8,"700 E Marshall Ave, Longview, TX 75601, United States",32.5008276,-94.7304434
Cuero Regional Hospital,44,Cuero,TX,3.132781500459861,0.07119957955590593,Cuero Community Hospital,ChIJ89DnXrzkQoYROOmixgODeOc,"2550 N Esplanade St, Cuero, TX 77954, United States",29.1126294,-97.28327019999999
Daniel Drake Center,211,Cincinnati,OH,16.255970865563768,0.07704251595053921,Daniel Drake Center for Post-Acute Care,ChIJ07GNO-dMQIgRCcl5e8vHnLc,"151 W Galbraith Rd, Cincinnati, OH 45216, United States",39.2124569,-84.4803001
Downey Medical Center,352,Downey,CA,27.471075946368504,0.07804282939309233,Kaiser Permanente Downey Medical Center,ChIJN7XOKG_NwoARCpoa8geHies,"9333 Imperial Hwy, Downey, CA 90242, United States",33.91901,-118.1281916
Emory Hillandale Hospital,90,Lithonia,GA,6.80330829240104,0.07559231436001156,Emory Hillandale Hospital,ChIJ99FXMlSs9YgR8f6ru3JZyEU,"2801 Dekalb Medical Pkwy, Lithonia, GA 30058, United States",33.7057547,-84.1479978
Encompass Health Rehabilitation Hospital of Miami,60,Miami,FL,4.142740345308518,0.06904567242180862,Encompass Health Rehabilitation Hospital of Miami,ChIJJfCk8vTE2YgRmXGBeiZWs5o,"20601 Old Cutler Rd, Miami, FL 33189, United States",25.57483,-80.34093
Encompass Health Rehabilitation Hospital of Ocala,60,Ocala,FL,4.142740345308518,0.06904567242180862,Encompass Health Rehabilitation Hospital of Ocala,ChIJS7wlcN3U54gRRv5p3CEhRAc,"2275 SW 22nd Ln, Ocala, FL 34471, United States",29.1657841,-82.16222049999999
Encompass Health Rehabilitation Hospital of Round Rock,75,Round Rock,TX,5.3399684666929454,0.07119957955590593,Encompass Health Rehabilitation Hospital of Round Rock,ChIJ05tQiAHORIYR8zS85tFNi3s,"1400 Hesters Crossing Rd, Round Rock, TX 78681, United States",30.4836198,-97.6935196
Encompass Health Rehabilitation Hospital of Sarasota,96,Sarasota,FL,6.628384552493628,0.06904567242180862,Encompass Health Rehabilitation Hospital of Sarasota,ChIJ91lCThxHw4gRqnY-ZgJTGr0,"6400 Edgelake Dr, Sarasota, FL 34240, United States",27.30081,-82.44261
Erlanger Western Carolina Hospital,25,Murphy,NC,1.6787881071711197,0.06715152428684479,Erlanger Western Carolina Hospital,ChIJr2jMg28nX4gRFTRQddxai3Y,"3990 E U.S. Highway 64 Alt, Murphy, NC 28906, United States",35.0725482,-83.96615419999999
Evans United States Army Hospital,0,Fort Carson,CO,0.0,0.07619762977800032,Evans Army Community Hospital,ChIJzzeRFWJCE4cR_jDrQ0kW3TQ,"1650 Cochrane Cir, Fort Carson, CO 80913, United States",38.718997,-104.7969049
Floyd Cherokee Medical Center,45,Centre,AL,2.3564232454892142,0.052364961010871416,Cherokee Medical Center,ChIJp3msAX1hiogRssvvCvFuSw8,"400 Northwood Dr, Centre, AL 35960, United States",34.1615289,-85.6508729
"Genesis Medical Center, East Rusholme Street",329,Davenport,IA,20.51046698872786,0.06234184495054061,"Genesis Medical Center, Davenport, East Rusholme Street | Laboratory",ChIJCQARr1004ocRcWQVz66IYEM,"1227 E Rusholme St, Davenport, IA 52803, United States",41.5416972,-90.55652219999999
HCA Houston Healthcare Kingwood,521,Kingwood,TX,37.09498094862699,0.07119957955590593,HCA Houston Healthcare Kingwood,ChIJ_3pgSMyyQIYRV7p3okbzut4,"22999 US-59 N, Kingwood, TX 77339, United States",30.0500672,-95.25481219999999
HCA Houston Healthcare Medical Center,133,Houston,TX,9.469544080935488,0.07119957955590593,HCA Houston Healthcare Medical Center,ChIJg9vDGSy_QIYRjB8yYaUqNKU,"1313 Hermann Dr, Houston, TX 77004, United States",29.723171,-95.38740709999999
Hospital General Menonita de Aibonito,150,Aibonito,PR,0.0,0.0,Hospital General Menonita de Aibonito,ChIJqXLzB0c2A4wRK--LErrdXBc,"100 Cll José C Vazquez, Aibonito, 00705, Puerto Rico",18.1433616,-66.2617823
INTEGRIS Miami Hospital,114,Miami,OK,6.696301000158756,0.05873948245753295,INTEGRIS Miami Hospital,ChIJ0zgbRewXyIcRtmDxEoYKXt8,"200 2nd Ave SW, Miami, OK 74354, United States",36.8730585,-94.8803484
Izard County Medical Center,25,Calico Rock,AR,1.45651173492867,0.0582604693971468,Izard County Medical Center,ChIJ9Xft4TyT0YcRI3u9H5xsSDM,"61 Grasse St, Calico Rock, AR 72519, United States",36.1266419,-92.1276097
LifeCare Hospitals of Pittsburgh at Main Campus,49,Pittsburgh,PA,3.4610263262770475,0.07063319033218464,Lifecare Hospitals of Pgh Inc,ChIJAwj5ptHtNIgRBnM_pRvDYO8,"225 Penn Ave, Pittsburgh, PA 15221, United States",40.4468129,-79.89194619999999
Long Island Community Hospital,235,Patchogue,NY,16.549606151537887,0.07042385596399099,Long Island Community Hospital,ChIJr6Vq1JZa6IkRbxIUdBXwyKw,"101 Hospital Rd, Patchogue, NY 11772, United States",40.7799905,-72.9772437
M Health Fairview Lakes Medical Center,55,Wyoming,MN,2.8025257602412665,0.050955013822568486,M Health Fairview Lakes Medical Center,ChIJYT0ApG7mslIR2lG_H-Q7Pok,"5200 Fairview Blvd, Wyoming, MN 55092, United States",45.321702,-93.0003869
MarinHealth Medical Center,235,Greenbrae,CA,18.3400649073767,0.07804282939309233,MarinHealth Medical Center,ChIJ3_G2wQqahYARPwamIE2b644,"250 Bon Air Rd, Greenbrae, CA 94904, United States",37.9473152,-122.5360306
Medical City North Hills,157,North Richland Hills,TX,11.178333990277233,0.07119957955590593,Medical City North Hills,ChIJV-eO_Px4ToYRGqW1vKd989k,"4401 Booth Calloway Rd, North Richland Hills, TX 76180, United States",32.8289781,-97.21339309999999
Mercy Health - Anderson Hospital,282,Cincinnati,OH,21.72598949805206,0.07704251595053921,Mercy Health - Anderson Hospital,ChIJrb-LA0ypQYgR3duJvP6Bpts,"7500 State Rd, Cincinnati, OH 45255, United States",39.0855512,-84.34881779999999
Mercyhealth Hospital and Medical Center-Harvard,28,Harvard,IL,1.8988760747718405,0.06781700267042287,Mercyhealth Hospital and Medical Center–Harvard,ChIJka2MjFhaD4gRGB7JRg1WjH4,"901 Grant St, Harvard, IL 60033, United States",42.4263413,-88.6070179
Munson Healthcare Manistee Hospital,45,Manistee,MI,2.9496415643409755,0.06554759031868834,Munson Healthcare Manistee Hospital: Emergency Room,ChIJtZLPSRgqHIgRfxmq42yFm7w,"1465 E Parkdale Ave, Manistee, MI 49660, United States",44.27112049999999,-86.2749102
MUSC Institute of Psychiatry,0,Charleston,SC,0.0,0.07041104021368155,MUSC Institute of Psychiatry,ChIJbaZFhzh6_ogRHeiaWZa9gtQ,"67 President St, Charleston, SC 29425, United States",32.78494209999999,-79.94978259999999
Northwest Health Physicians' Specialty Hospital,20,Fayetteville,AR,1.1652093879429362,0.0582604693971468,Northwest Health Physicians' Specialty Hospital,ChIJs-4wfelryYcRxVcwRFBDGJg,"3873 Parkview Dr, Fayetteville, AR 72703, United States",36.1214404,-94.1341326
